Name,Facility ID (CCN),Parent System/Company,PE Firm,Currently PE?,State,Address,City,Zip,County,Date last acquired by PE,Previous Owner Type,Hospital Ownership,Type,Region,Payment Designation,Hospital Overall Rating,Rural?,RUCA,FORHP Rural/Urban,CSBA Rural/Urban,FIPS,Sale-leaseback,HCRIS Acute,HCRIS Beds,POS Certified Beds,POS Total Beds,PSF Beds,Emergency Services,Phone
TEXAS HEALTH PRESBYTERIAN HOSPITAL ALLEN,450840,,,N,TX,1105 CENTRAL EXPRESSWAY NORTH,ALLEN,75013,COLLIN,,,Government - Federal,Acute Care Hospitals,South ,PPS,3,,1,Urban,Metro,48085,,47,,29,29,41,Yes,(972) 747-6197
TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTON,450743,,,N,TX,3000 N I-35,DENTON,76201,DENTON,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,3,,1,Urban,Metro,48121,,196,,255,255,195,Yes,(940) 898-7000
TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND,670068,Texas Health Resources/Advent Health,,N,TX,4400 LONG PRAIRIE ROAD,FLOWER MOUND,75028,DENTON,,,Proprietary,Acute Care Hospitals,South ,PPS,4,,1,Urban,Metro,48121,,99,,91,99,89,Yes,(972) 419-1530
TEXAS HEALTH PRESBYTERIAN HOSPITAL KAUFMAN,450292,,,N,TX,850 ED HALL,KAUFMAN,75142,KAUFMAN,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,4,,2,Urban,Metro,48257,,46,,73,91,61,Yes,(972) 932-7200
TEXAS HEALTH PRESBYTERIAN HOSPITAL PLANO,450771,,,N,TX,6200 W PARKER RD,PLANO,75093,COLLIN,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,3,,1,Urban,Metro,48085,,321,,203,203,292,Yes,(972) 981-8000
TEXAS HEALTH PRESBYTERIAN HOSPITAL ROCKWALL,670044,Texas Health Resources/Advent Health,,N,TX,3150 HORIZON ROAD,ROCKWALL,75032,ROCKWALL,,,Proprietary,Acute Care Hospitals,South ,PPS,5,,1,Urban,Metro,48397,,53,,33,61,45,Yes,(469) 698-1000
TEXAS HEALTH SPECIALTY HOSPITAL FORT WORTH,452018,Texas Health,,N,TX,1300 PENNSYLVANIA 4TH FLOOR MAIN BLDG,FORT WORTH,76104,,,,,LTACH,South ,,,,1,Urban,Metro,48439,,,15,15,15,,,(817) 878-5500
TEXAS INSTITUTE FOR SURGERY AT PRESBYTERIAN HOSPIT,450889,Value Management Group and Texas Health Presbyterian Dallas,,N,TX,7115 GREENVILLE AVENUE SUITE 100,DALLAS,75231,DALLAS,,,Proprietary,Acute Care Hospitals,South ,PPS,Not Available,,1,Urban,Metro,48113,,9,,9,9,9,Yes,(214) 647-5300
TEXAS NEURO REHABILITATION CENTER,452038,Universal Health Services,,N,TX,1106 W DITTMAR,AUSTIN,78745,,,,,LTACH,South ,,,,1,Urban,Metro,48453,,,47,47,47,,,(512) 444-4835
TEXAS ORTHOPEDIC HOSPITAL,450804,,,N,TX,7401 SOUTH MAIN STREET,HOUSTON,77030,HARRIS,,,Voluntary non-profit - Other,Acute Care Hospitals,South ,PPS,5,,1,Urban,Metro,48201,,49,,46,49,49,Yes,(713) 799-8600
TEXAS SCOTTISH RITE HOSPITAL FOR CHILDREN,453314,,,N,TX,2222 WELBORN STREET,DALLAS,75219,DALLAS,,,Voluntary non-profit - Private,Childrens,South ,,Not Available,,1,Urban,Metro,48113,,,,100,100,,No,(214) 559-5000
TEXAS VISTA MEDICAL CENTER,450697,Steward Health Care,Cerberus Capital,N,TX,7400 BARLITE BLVD,SAN ANTONIO,78224,BEXAR,,,Physician,Acute Care Hospitals,South ,PPS,2,,1,Urban,Metro,48029,MPT,185,,325,325,191,Yes,(210) 921-2000
TEXOMA MEDICAL CENTER,450324,Universal Health Services,,N,TX,5016 S US HIGHWAY 75,DENISON,75020,GRAYSON,,,Proprietary,Acute Care Hospitals,South ,RRC,2,1,1,Urban,Metro,48181,,339,,326,326,351,Yes,(903) 416-4000
THAYER COUNTY HEALTH SERVICES,281304,,,N,NE,120 PARK AVE,HEBRON,68370,THAYER,,,Government - Local,Critical Access Hospitals,Midwest ,CAH,Not Available,1,10,Rural,Neither,31169,,19,,19,19,,Yes,(402) 768-6041
THE BEHAVIORAL CENTER OF MICHIGAN,234042,,,N,MI,4050 E 12 MILE ROAD,WARREN,48092,MACOMB,,,Proprietary,Psychiatric,Midwest ,,Not Available,,1,Urban,Metro,26099,,,42,42,42,,No,(586) 261-2266
THE BROOK HOSPITAL - DUPONT,184007,,,N,KY,1405 BROWNS LANE,LOUISVILLE,40207,JEFFERSON,,,Voluntary non-profit - Private,Psychiatric,South ,,Not Available,,1,Urban,Metro,21111,,,68,94,94,,No,(502) 896-0495
THE BROOK HOSPITAL - KMI,184008,,,N,KY,8521 LAGRANGE ROAD,LOUISVILLE,40242,JEFFERSON,,,Government - Federal,Psychiatric,South ,,Not Available,,1,Urban,Metro,21111,,,62,94,94,,Yes,(502) 426-6380
THE CARLE FOUNDATION HOSPITAL,140091,,,N,IL,611 WEST PARK STREET,URBANA,61801,CHAMPAIGN,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,3,,1,Urban,Metro,17019,,427,,316,316,374,Yes,(217) 383-3311
THE CENTER FOR FORENSIC PSYCHIATRY,234041,,,N,MI,8303 PLATT ROAD,SALINE,48176,WASHTENAW,,,Government - State,Psychiatric,Midwest ,,Not Available,1,10,Rural,Metro,26161,,,272,240,240,,No,(734) 429-2531
THE GENERAL,190316,,,N,LA,"3600 FLORIDA BLVD, SUITE 2020",BATON ROUGE,70806,E. BATON ROUGE,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,Not Available,,1,Urban,Metro,22033,,139,,230,230,85,Yes,(225) 381-6393
THE HEART HOSPITAL BAYLOR DENTON,450893,,,N,TX,2801 SOUTH MAYHILL ROAD,DENTON,76208,DENTON,,,Physician,Acute Care Hospitals,South ,PPS,5,,1,Urban,Metro,48121,,22,,16,16,20,Yes,(940) 220-0600
THE HEART HOSPITAL BAYLOR PLANO,670025,Baylor Scott & White Health,,N,TX,1100 ALLIED DRIVE,PLANO,75093,COLLIN,,,Proprietary,Acute Care Hospitals,South ,PPS,5,,1,Urban,Metro,48085,,109,,68,68,110,Yes,(469) 814-3278
THE HEIGHTS HOSPITAL,670129,North Houston Surgical Hospita,,N,TX,"1917 ASHLAND STREET, SUITE 300",HOUSTON,77008,HARRIS,,,Proprietary,Acute Care Hospitals,South ,PPS,,,1,Urban,Metro,48201,,,,89,89,50,No,(713) 574-6814
THE HOSPITAL AT WESTLAKE MEDICAL CENTER,670006,,,N,TX,"5656 BEE CAVES ROAD, SUITE M-302",AUSTIN,78746,TRAVIS,,,Proprietary,Acute Care Hospitals,South ,PPS,Not Available,,1,Urban,Metro,48453,,23,,23,23,22,Yes,(512) 327-0000
THE HOSPITALS OF PROVIDENCE EAST CAMPUS,670047,Tenet Healthcare,,N,TX,3280 JOE BATTLE BLVD,EL PASO,79938,EL PASO,,,Proprietary,Acute Care Hospitals,South ,PPS,2,,1,Urban,Metro,48141,,182,,182,182,182,Yes,(915) 856-7349
THE HOSPITALS OF PROVIDENCE MEMORIAL CAMPUS,450002,Tenet Healthcare,,N,TX,2001 N OREGON ST,EL PASO,79902,EL PASO,,,Proprietary,Acute Care Hospitals,South ,PPS,3,,1,Urban,Metro,48141,,306,,500,500,299,Yes,(915) 577-6011
THE HOSPITALS OF PROVIDENCE TRANSMOUNTAIN CAMPUS,670120,Tenet Healthcare,,N,TX,2000 TRANSMOUNTAIN RD,EL PASO,79911,EL PASO,,,Proprietary,Acute Care Hospitals,South ,PPS,3,,1,Urban,Metro,48141,,108,,108,108,110,Yes,(915) 877-8136
THE JAMES B HAGGIN MEMORIAL HOSPITAL,181302,,,N,KY,464 LINDEN AVENUE,HARRODSBURG,40330,MERCER,,,Voluntary non-profit - Other,Critical Access Hospitals,South ,CAH,Not Available,1,7,Rural,Neither,21167,,25,,25,25,,Yes,(859) 239-2409
THE JEWISH HOSPITAL-MERCY HEALTH,360016,,,N,OH,4777 EAST GALBRAITH ROAD,CINCINNATI,45236,HAMILTON,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,4,,1,Urban,Metro,39061,,170,,209,209,160,No,(513) 686-4127
THE MEDICAL CENTER AT ALBANY,180106,,,N,KY,723 BURKESVILLE ROAD,ALBANY,42602,CLINTON,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,SCH,Not Available,1,10,Rural,Neither,21053,,38,,42,42,31,Yes,(606) 387-3651
THE MEDICAL CENTER AT BOWLING GREEN,180013,,,N,KY,250 PARK STREET,BOWLING GREEN,42101,WARREN,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,RRC,1,1,1,Urban,Metro,21227,,308,,354,382,288,Yes,(270) 745-1000
THE MEDICAL CENTER AT CAVERNA,181314,,,N,KY,1501 SOUTH DIXIE STREET,HORSE CAVE,42749,HART,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,Not Available,1,7,Rural,Neither,21099,,25,,25,25,,Yes,(270) 786-2191
THE MEDICAL CENTER AT FRANKLIN,181318,,,N,KY,1100 BROOKHAVEN ROAD,FRANKLIN,42135,SIMPSON,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,3,1,7,Rural,Neither,21213,,25,,25,25,,Yes,(270) 598-4800
THE MEDICAL CENTER AT SCOTTSVILLE,181324,,,N,KY,456 BURNLEY ROAD,SCOTTSVILLE,42164,ALLEN,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,Not Available,1,7,Rural,Metro,21003,,25,,25,25,,Yes,(270) 622-2800
THE MEDICAL CENTER OF SOUTHEAST TEXAS,450518,Steward Health Care,Cerberus Capital,N,TX,2555 JIMMY JOHNSON BLVD,PORT ARTHUR,77640,JEFFERSON,,,Physician,Acute Care Hospitals,South ,PPS,3,,1,Urban,Metro,48245,MPT,185,,174,216,176,Yes,(409) 853-5900
THE MIRIAM HOSPITAL,410012,,,N,RI,164 SUMMIT AVENUE,PROVIDENCE,2906,PROVIDENCE,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,5,,1,Urban,Metro,44007,,246,,247,247,213,Yes,(401) 793-2500
THE MONROE CLINIC,520028,,,N,WI,2005 5TH STREET,MONROE,53566,GREEN,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,5,1,4,Rural,Metro,55045,,58,,100,100,55,Yes,(608) 324-1000
THE MOSES H CONE MEMORIAL HOSPITAL,340091,,,N,NC,1200 N ELM ST,GREENSBORO,27401,GUILFORD,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,RRC,3,1,1,Urban,Metro,37081,,775,,1122,1232,690,Yes,(336) 832-7000
THE NEBRASKA MEDICAL CENTER,280013,,,N,NE,987400 NEBRASKA MEDICAL CENTER,OMAHA,68198,DOUGLAS,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,3,,1,Urban,Metro,31055,,616,,689,689,549,Yes,(402) 552-2040
"THE NEUROMEDICAL CENTER REHABILITATION HOSPITAL, L",193090,,,N,LA,10101 PARK ROWE AVENUE,BATON ROUGE,70810,,,,,Rehabilitation hospital,South ,,,,1,Urban,Metro,22033,,,27,27,27,,,(225) 906-2999
THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,150168,Lutheran Health Network,,N,IN,7952 W JEFFERSON BLVD,FORT WAYNE,46804,ALLEN,,,Proprietary,Acute Care Hospitals,Midwest ,PPS,Not Available,,1,Urban,Metro,18003,,39,,44,44,37,No,(260) 435-2999
THE ORTHOPEDIC SPECIALTY HOSPITAL,460049,,,N,UT,5848 SOUTH 300 EAST,MURRAY,84107,SALT LAKE,,,Voluntary non-profit - Private,Acute Care Hospitals,West ,PPS,Not Available,,1,Urban,Metro,49035,,40,,40,40,40,No,(801) 314-4100
"THE OUTER BANKS HOSPITAL, INC",341324,,,N,NC,4800 SOUTH CROATAN HIGHWAY,NAGS HEAD,27959,DARE,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,4,1,4,Rural,Micro,37055,,21,,19,19,,Yes,(252) 449-4500
THE PHYSICIANS' HOSPITAL IN ANADARKO,371314,,,N,OK,1002 E CENTRAL BLVD,ANADARKO,73005,CADDO,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,Not Available,1,7,Rural,Neither,40015,,25,,25,25,,Yes,(405) 247-8236
THE QUEENS MEDICAL CENTER,120001,,,N,HI,1301 PUNCHBOWL ST,HONOLULU,96813,HONOLULU,,,Voluntary non-profit - Private,Acute Care Hospitals,West ,RRC,4,1,1,Urban,Metro,15003,,674,,585,585,624,Yes,(808) 538-9011
THE REHABILITATION INSTITUTE OF OHIO,363033,Encompass Health,,N,OH,835 SOUTH MAIN STREET,DAYTON,45402,,,,Proprietary,Rehabilitation hospital,Midwest ,,,,1,Urban,Metro,39113,,,60,60,60,,,(937) 424-8200
"THE REHABILITATION INSTITUTE OF ST. LOUIS, AN AFFI",263028,Encompass Health,,N,MO,4455 DUNCAN AVE,SAINT LOUIS,63110,,,,Proprietary,Rehabilitation hospital,Midwest ,,,,1,Urban,Metro,29510,,,131,131,131,,,(314) 658-3800
THE RIDGE BEHAVIORAL HEALTH SYSTEM,184009,Universal Health Services,,N,KY,3050 RIO DOSA DRIVE,LEXINGTON,40509,FAYETTE,,,Proprietary,Psychiatric,South ,,Not Available,,1,Urban,Metro,21067,,,110,90,110,,No,(859) 269-2325
THE SPECIALITY HOSPITAL OF MERIDIAN,252004,Ochsner Health,,N,MS,1314 19TH AVENUE,MERIDIAN,39301,,,,,LTACH,South ,,,1,4,Rural,Micro,28075,,,49,49,49,,,(601) 703-4211
THE SPINE HOSPITAL OF LOUISIANA,190266,,,N,LA,"10105 PARK ROW CIRCLE, SUITE 250",BATON ROUGE,70810,E. BATON ROUGE,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,Not Available,,1,Urban,Metro,22033,,23,,23,23,23,No,(225) 763-9900
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,140088,,,N,IL,5841 SOUTH MARYLAND,CHICAGO,60637,COOK,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,RRC,3,1,1,Urban,Metro,17031,,678,,633,633,631,Yes,(773) 702-1000
THE UNIVERSITY OF VERMONT HEALTH NETWORK  - CHAMPL,330250,,,N,NY,75 BEEKMAN STREET,PLATTSBURGH,12901,CLINTON,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,SCH/RRC,4,1,4,Rural,Micro,36019,,300,,300,300,283,Yes,(518) 562-7767
THE VINES HOSPITAL,104071,Universal Health Services,,N,FL,3130 SW 27TH AVE,OCALA,34474,MARION,,,Proprietary,Psychiatric,South ,,Not Available,,1,Urban,Metro,12083,,,98,98,98,,No,(352) 671-3130
THE WILLIAM J MCCORD ADOLESCENT TREATMENT FACILITY,424013,,,N,SC,910 COOK ROAD,ORANGEBURG,29118,,,,,Psychiatric,South ,,,1,4,Rural,Micro,45075,,,,15,15,,,(803) 534-2328
THE WOODLANDS SPECIALTY HOSPITAL,670267,,,N,TX,25440 INTERSTATE 45 NORTH,SPRING,77386,MONTGOMERY,,,Physician,Acute Care Hospitals,South ,PPS,Not Available,,1,Urban,Metro,48339,,6,,4,4,6,Yes,(281) 602-8160
THEDACARE MEDICAL CENTER - BERLIN INC,521355,,,N,WI,225 MEMORIAL DRIVE,BERLIN,54923,GREEN LAKE,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,3,1,7,Rural,Neither,55047,,25,,25,25,,Yes,(920) 361-1313
THEDACARE MEDICAL CENTER - SHAWANO INC,521346,,,N,WI,100 COUNTY RD B,SHAWANO,54166,SHAWANO,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,4,1,10,Rural,Micro,55115,,25,,25,25,,Yes,(715) 526-2111
THEDACARE MEDICAL CENTER - WAUPACA INC,521334,,,N,WI,800 RIVERSIDE DRIVE,WAUPACA,54981,WAUPACA,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,7,Rural,Neither,55135,,25,,25,25,,Yes,(715) 258-1000
THEDACARE MEDICAL CENTER - WILD ROSE INC,521303,,,N,WI,601 GROVE AVE,WILD ROSE,54984,WAUSHARA,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,10,Rural,Neither,55137,,25,,25,25,,Yes,(920) 622-3257
THEDACARE MEDICAL CENTER NEW LONDON,521326,,,N,WI,1405 MILL ST,NEW LONDON,54961,WAUPACA,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,2,Rural,Metro,55087,,25,,15,15,,Yes,(920) 531-2000
THEDACARE REGIONAL MEDICAL CENTER - APPLETON INC,520160,,,N,WI,1818 N MEADE ST,APPLETON,54911,OUTAGAMIE,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,4,,1,Urban,Metro,55087,,147,,160,160,139,Yes,(920) 731-4101
THEDACARE REGIONAL MEDICAL CENTER - NEENAH INC,520045,,,N,WI,130 2ND ST,NEENAH,54956,WINNEBAGO,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,3,,1,Urban,Metro,55139,,139,,182,182,129,Yes,(920) 729-3100
THIBODAUX REGIONAL MEDICAL CENTER,190004,,,N,LA,602 N ACADIA ROAD,THIBODAUX,70301,LAFOURCHE,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,PPS,4,,1,Urban,Metro,22057,,164,,210,210,144,Yes,(985) 447-5500
THOMAS B FINAN CENTER,214012,,,N,MD,"10102 COUNTRY CLUB ROAD,  POST OFFICE BOX 1722",CUMBERLAND,21502,ALLEGANY,,,Government - Local,Psychiatric,South ,,Not Available,,1,Urban,Metro,24001,,,88,119,119,,No,(301) 777-2240
THOMAS H BOYD MEMORIAL HOSPITAL,141300,,,N,IL,800 SCHOOL ST,CARROLLTON,62016,GREENE,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,10,Rural,Neither,17061,,25,,25,25,,Yes,(217) 942-6946
THOMAS HOSPITAL,010100,,,N,AL,750 MORPHY AVENUE,FAIRHOPE,36532,BALDWIN,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,RRC,3,1,1,Urban,Metro,1003,,129,,162,162,122,Yes,(251) 928-2375
THOMAS JEFFERSON UNIVERSITY HOSPITAL,390174,,,N,PA,111 SOUTH 11TH STREET,PHILADELPHIA,19107,PHILADELPHIA,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,4,,1,Urban,Metro,42101,,834,,743,925,812,Yes,(215) 955-6000
THOMAS MEMORIAL HOSPITAL,510029,,,N,WV,4605 MACCORKLE AVENUE SW,SOUTH CHARLESTON,25309,KANAWHA,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,2,,1,Urban,Metro,54039,,176,,266,266,148,Yes,(304) 766-3600
THOMASVILLE REGIONAL MEDICAL CENTER,010174,,,N,AL,300 MED PARK DRIVE,THOMASVILLE,36784,CLARKE,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,Not Available,1,7,Rural,Neither,1025,,29,,29,29,29,Yes,(205) 873-1442
THOREK MEMORIAL HOSPITAL,140115,,,N,IL,850 W IRVING PARK RD,CHICAGO,60613,COOK,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,2,,1,Urban,Metro,17031,,156,,218,218,154,Yes,(773) 525-6780
THREE RIVERS BEHAVIORAL HEALTH,424008,Universal Health Services,,N,SC,2900 SUNSET BOULEVARD,WEST COLUMBIA,29169,LEXINGTON,,,Proprietary,Psychiatric,South ,,Not Available,,1,Urban,Metro,45063,,,122,122,122,,No,(803) 796-9911
THREE RIVERS HEALTH,230015,,,N,MI,701 S HEALTH PARKWAY,THREE RIVERS,49093,ST. JOSEPH,,,Government - Hospital District or Authority,Acute Care Hospitals,Midwest ,PPS,3,1,4,Rural,Micro,26149,,48,,60,60,45,No,(269) 273-9602
THREE RIVERS HOSPITAL,441303,,,N,TN,451 HIGHWAY 13 SOUTH,WAVERLY,37185,HUMPHREYS,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,Not Available,1,7,Rural,Neither,47085,,25,,25,25,,Yes,(931) 296-4203
THREE RIVERS HOSPITAL,501324,,,N,WA,507 HOSPITAL WAY,BREWSTER,98812,OKANOGAN,,,Government - Hospital District or Authority,Critical Access Hospitals,West ,CAH,Not Available,1,10,Rural,Neither,53047,,25,,25,43,,Yes,(509) 689-2517
THROCKMORTON COUNTY MEMORIAL HOSPITAL,451339,,,N,TX,802 N MINTER AVENUE,THROCKMORTON,76483,THROCKMORTON,,,Government - Local,Critical Access Hospitals,South ,CAH,Not Available,1,10,Rural,Neither,48447,,14,,14,14,,Yes,(940) 849-2151
"TIDALHEALTH NANTICOKE, INC.",080006,,,N,DE,801 MIDDLEFORD RD,SEAFORD,19973,SUSSEX,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,MDH/RRC,3,1,1,Urban,Metro,10005,,94,,119,119,87,Yes,(302) 629-6611
"TIDALHEALTH PENINSULA REGIONAL, INC",210019,,,N,MD,100 EAST CARROLL AVENUE,SALISBURY,21801,WICOMICO,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,3,,1,Urban,Metro,24045,,225,,362,362,265,Yes,(410) 546-6400
TIDELANDS HEALTH,420020,,,N,SC,606 BLACK RIVER RD DRAWER 1718,GEORGETOWN,29440,GEORGETOWN,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,RRC,2,1,4,Rural,Micro,45043,,131,,131,131,126,Yes,(843) 527-7000
TIDELANDS HEALTH REHABILITATION HOSPITALS,423033,,,N,SC,"4070 HIGHWAY 17 BYPASS SOUTH, 4TH FLOOR",MURRELLS INLET,29576,,,,,Rehabilitation hospital,South ,,,,1,Urban,Micro,45043,,,75,29,29,,,(843) 652-1350
TIDELANDS WACCAMAW COMMUNITY HOSPITAL,420098,,,N,SC,4070 HWY 17,MURRELLS INLET,29576,HORRY,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,RRC,3,1,1,Urban,Micro,45043,,124,,124,124,115,Yes,(843) 652-1000
TIFT REGIONAL MEDICAL CENTER,110095,,,N,GA,901 E 18TH STREET,TIFTON,31793,TIFT,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,RRC,2,1,4,Rural,Micro,13277,,181,,176,176,158,Yes,(229) 382-7120
TIMPANOGOS REGIONAL HOSPITAL,460052,HCA Healthcare,,N,UT,750 WEST 800 NORTH,OREM,84057,UTAH,,,Proprietary,Acute Care Hospitals,West ,PPS,3,,1,Urban,Metro,49049,,117,,122,122,119,Yes,(801) 714-6800
TIOGA MEDICAL CENTER,351300,,,N,ND,810 N WELO ST,TIOGA,58852,WILLIAMS,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,10,Rural,Micro,38105,,25,,25,25,,Yes,(701) 664-3305
TIPPAH COUNTY HOSPITAL,251337,,,N,MS,1005 CITY AVE NORTH,RIPLEY,38663,TIPPAH,,,Government - Local,Critical Access Hospitals,South ,CAH,4,1,7,Rural,Neither,28139,,25,,25,45,,Yes,(662) 837-9221
TIRR MEMORIAL HERMANN,453025,Memorial Hermann,,N,TX,1333 MOURSUND AVE,HOUSTON,77030,,,,,Rehabilitation hospital,South ,,,,1,Urban,Metro,48201,,,134,134,134,,,(713) 799-7022
TISHOMINGO HEALTH SERVICES INC,250002,,,N,MS,1777 CURTIS DRIVE,IUKA,38852,TISHOMINGO,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,MDH,Not Available,1,10,Rural,Neither,28141,,48,,48,48,40,Yes,(662) 423-6051
TITUS REGIONAL MEDICAL CENTER,450080,,,N,TX,2001 N JEFFERSON,MOUNT PLEASANT,75455,TITUS,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,SCH/RRC,4,1,4,Rural,Micro,48449,,49,,165,165,42,Yes,(903) 577-6000
TITUSVILLE HOSPITAL,391314,,,N,PA,406 WEST OAK STREET,TITUSVILLE,16354,CRAWFORD,,,Voluntary non-profit - Private,Critical Access Hospitals,Northeast ,CAH,3,1,7,Rural,Micro,42039,,25,,21,25,,Yes,(814) 827-1851
TMC- BONHAM HOSPITAL,451370,,,N,TX,504 LIPSCOMB STREET,BONHAM,75418,FANNIN,,,Government - Hospital District or Authority,Critical Access Hospitals,South ,CAH,2,1,7,Rural,Micro,48147,,21,,25,25,,Yes,(903) 640-7311
TOLEDO HOSPITAL THE,360068,,,N,OH,2142 NORTH COVE BOULEVARD,TOLEDO,43606,LUCAS,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,RRC,4,1,1,Urban,Metro,39095,,723,,794,794,724,Yes,(419) 291-4000
TOMAH MEMORIAL HOSPITAL,521320,,,N,WI,501 GOPHER DR,TOMAH,54660,MONROE,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,7,Rural,Neither,55081,,25,,15,15,,Yes,(608) 372-2181
TOPS SURGICAL SPECIALTY HOSPITAL,450774,,,N,TX,17080 RED OAK DRIVE,HOUSTON,77090,HARRIS,,,Physician,Acute Care Hospitals,South ,PPS,Not Available,,1,Urban,Metro,48201,,15,,15,15,15,No,(281) 539-2900
TORII BEHAVIORAL HEALTH,364045,Sequel Youth & Family Services,,N,OH,765 PIERCE DRIVE,COLUMBUS,43223,FRANKLIN,,,Proprietary,Psychiatric,Midwest ,,,,1,Urban,Metro,39049,,,,10,20,,No,(614) 223-1650
TORRANCE MEMORIAL MEDICAL CENTER,050351,,,N,CA,3330 LOMITA BLVD,TORRANCE,90509,LOS ANGELES,,,Voluntary non-profit - Other,Acute Care Hospitals,West ,PPS,3,,1,Urban,Metro,6037,,493,,380,380,493,Yes,(310) 325-9110
TORRANCE STATE HOSPITAL,394026,,,N,PA,121 LONGVIEW DRIVE,TORRANCE,15779,WESTMORELAND,,,Government - State,Psychiatric,Northeast ,,Not Available,,1,Urban,Metro,42129,,,357,357,357,,No,(724) 459-8000
TOTALLY KIDS REHABILITATION HOSPITAL,053038,,,N,CA,1720 MOUNTAIN VIEW AVENUE,LOMA LINDA,92354,,,,,Rehabilitation hospital,West ,,,,1,Urban,Metro,6071,,,,25,25,,,(909) 796-6915
TOUCHETTE REGIONAL HOSPITAL INC,140077,,,N,IL,5900 BOND AVENUE,CENTREVILLE,62207,ST. CLAIR,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,Not Available,,1,Urban,Metro,17163,,123,,109,109,121,Yes,(618) 332-3060
TOURO INFIRMARY,190046,,,N,LA,1401 FOUCHER STREET,NEW ORLEANS,70115,ORLEANS,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,3,,1,Urban,Metro,22071,,260,,352,352,232,Yes,(504) 897-8247
TOWER BEHAVIORAL HEALTH,394056,Tower Health/Acadia Healthcare,,N,PA,201 WELLNESS WAY,READING,19605,BERKS,,,Proprietary,Psychiatric,Northeast ,,Not Available,,1,Urban,Metro,42011,,,144,144,144,,No,(484) 659-2300
TOWNER COUNTY MEDICAL CENTER,351331,,,N,ND,HWY 281 N,CANDO,58324,TOWNER,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,10,Rural,Neither,38095,,20,,20,20,,Yes,(701) 968-4411
